SetAmplitude_V,SetFrequency_Hz,SetSteepness_ka,MeasFrequency_Hz,Unc_Frequency_Hz,Wavenumber_radm,Unc_Wavenumber_radm,Wavelength_m,MeasSteepness_ak,Unc_MeasSteepness_ak,IncidentAmp_m,Unc_IncidentAmp_m,ReflectedAmp_m,Unc_ReflectedAmp_m,IncidentPhase_rad,ReflectedPhase_rad,ReflectionCoeff,Unc_ReflectionCoeff,NoiseFloor_median_m,Denominator_D,N_gauges
2.42,1,0.04,0.999983333611106,0.00833319444675922,4.57630323557831,0.0563303792756927,1.37298272945096,0.0108165930000402,0.00350933086519984,0.0023636093246503,0.000766296303210746,0.00356255412757773,0.000765222580754741,-2.94669743586245,1.03310737488968,1.50725168090324,0.586177272700819,0.0011981418572984,1.48931802090825,6
2.563,1.25,0.06,1.24997916701388,0.00833319444675922,6.54111766028099,0.075505880415547,0.960567541130223,0.0100449598059243,0.00557421692202312,0.00153566413686752,0.000851996723004363,0.00389966186480072,0.000839683475582559,2.13662371520099,-0.341609429378898,2.53939762685045,1.5112596629889,0.00119920715521693,0.451978300944862,6
2.93,0.7143,0.03,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.00494690071151362,0.00182096366064481,0.00168910679938612,0.000621293326940156,0.00193711030160398,0.000621592628120278,-1.30644950972242,-2.59337423868324,1.14682523467906,0.55978978140196,0.00119984651579344,8.6370423165443,6
3.068,1.25,0.07,1.24997916701388,0.00833319444675922,6.54111766028099,0.075505880415547,0.960567541130223,0.0111637988694224,0.00629501213449287,0.0017067112149979,0.000962173942120922,0.00487561935644514,0.000946066681752019,2.18450900191481,-0.247257019558573,2.85673364866893,1.70323610973908,0.00120005118131359,0.451978300944862,6
3.142,1,0.05,0.999983333611106,0.00833319444675922,4.57630323557831,0.0563303792756927,1.37298272945096,0.0134855544188538,0.00390410585062575,0.0029468227354365,0.000852341974218706,0.00460369507533648,0.000850621599244191,-2.95587890497019,0.983913252287231,1.56225721349831,0.536198131005414,0.00119882819649184,1.48931802090825,6
3.256,0.8333,0.04,0.833319444675922,0.00833319444675922,3.54889972983707,0.0468907622018412,1.77046008213595,0.00747048370847201,0.00219641420980322,0.00210501402608379,0.000618274779293765,0.00248439245298715,0.000621533980288352,-0.85368377852459,1.59438905611017,1.18022608030273,0.455353822646611,0.00119833407207413,1.77307662190212,6
3.573,1.25,0.08,1.24997916701388,0.00833319444675922,6.54111766028099,0.075505880415547,0.960567541130223,0.0124141967572735,0.00712964499981584,0.0018978708841541,0.0010897533281324,0.0059246740634364,0.00106918332092321,2.12700947486265,-0.247099422688436,3.12174769785622,1.87894455171928,0.00120083186330409,0.451978300944862,6
3.864,1,0.06,0.999983333611106,0.00833319444675922,4.57630323557831,0.0563303792756927,1.37298272945096,0.01609502543973,0.00435029647047505,0.00351703648364029,0.000949627401066492,0.00566981154844844,0.000946988666278497,-2.87367910842617,1.04131471249281,1.61209915644092,0.511827891760052,0.00119965143491359,1.48931802090825,6
4.063,0.7143,0.04,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.00665498471532536,0.00190244931008424,0.00227232778420315,0.000648771929348054,0.00284074861587893,0.000649539743571152,-1.3679230694768,-2.65243259010703,1.25014913588935,0.457283128898959,0.00120127619768214,8.6370423165443,6
4.187,0.8333,0.05,0.833319444675922,0.00833319444675922,3.54889972983707,0.0468907622018412,1.77046008213595,0.00955487206607018,0.00236298668914997,0.00269234771152829,0.000664885459739178,0.00358540681611841,0.000669366922129798,0.431154123827385,3.08058412325065,1.33170273689619,0.412269210026024,0.00119878609589523,1.77307662190212,6
4.586,1,0.07,0.999983333611106,0.00833319444675922,4.57630323557831,0.0563303792756927,1.37298272945096,0.0186341714945329,0.0048277222749086,0.00407188303206445,0.00105374799552509,0.00672762206287781,0.00105015474120678,-2.95436459132128,0.938405002992134,1.65221397812768,0.499330556464374,0.00120075479975371,1.48931802090825,6
5.119,0.8333,0.06,0.833319444675922,0.00833319444675922,3.54889972983707,0.0468907622018412,1.77046008213595,0.0116243119135836,0.00246069482707994,0.00327546924356673,0.00069201641196376,0.00403102459815878,0.000699836099681968,-0.897613633594327,1.58937662057597,1.23067087443304,0.336532423534701,0.00119964950065107,1.77307662190212,6
5.196,0.7143,0.05,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.0083382233681296,0.00200604323738131,0.00284706538644042,0.000683745354493835,0.00374872399497916,0.000684985212905952,-1.3653605880625,-2.63759641694514,1.31669754155736,0.397337834627427,0.00120346942484086,8.6370423165443,6
5.308,1,0.08,0.999983333611106,0.00833319444675922,4.57630323557831,0.0563303792756927,1.37298272945096,0.0210844380832965,0.00532932301866482,0.00460730790725936,0.0011631658929139,0.00780150558458567,0.00115878840005167,-2.86470619762161,1.01671783360253,1.69328938756046,0.495989075843673,0.00120205409562043,1.48931802090825,6
6.05,0.8333,0.07,0.833319444675922,0.00833319444675922,3.54889972983707,0.0468907622018412,1.77046008213595,0.0135383146249385,0.00268950007862872,0.00381479209207189,0.000756162498154025,0.00521502694210795,0.000764661501730672,0.286584138817175,2.94611281204957,1.36705404023095,0.337055588594717,0.00120110631477955,1.77307662190212,6
6.33,0.7143,0.06,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.00984242248293706,0.00211967767056939,0.00336067038897026,0.000722158659734138,0.00460522046232783,0.000724015514284675,-1.43279966380295,-2.7140527433444,1.37032791952528,0.364859020755267,0.00120642271172722,8.6370423165443,6
6.981,0.8333,0.08,0.833319444675922,0.00833319444675922,3.54889972983707,0.0468907622018412,1.77046008213595,0.0157423626748449,0.00280322340185639,0.00443584318330899,0.000787707776526026,0.00559132051752305,0.00080017721574634,-0.917208930962568,1.58055656216807,1.26048651552017,0.287475382895875,0.00120227278617786,1.77307662190212,6
7.463,0.7143,0.07,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.0181456536242786,0.0029811863349296,0.0061957877676296,0.00101404890617157,0.00975398091896435,0.00101736095261317,-0.18367209204996,-1.09344942291882,1.57429229095367,0.305534299272789,0.00121162715734681,8.6370423165443,6
8.596,0.7143,0.08,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.0127805674611601,0.00238388894835961,0.00436389259813005,0.000811573243192204,0.00628144179952883,0.000814813517575563,-1.42446905333213,-2.72815415215286,1.43941255617071,0.32637933465532,0.00121191802616647,8.6370423165443,6
10.862,0.7143,0.1,0.716654722421293,0.00833319444675922,2.92870806825922,0.041915501218526,2.14537781190128,0.0232311600017637,0.00362289073059916,0.00793222112286935,0.00123180662905344,0.0127581751091914,0.00123713332476159,1.80483659397747,0.836350866895318,1.60839882191488,0.294465391589308,0.001235669110759,8.6370423165443,6
