Measurement,Filename,Mode,Date_DDMMYY,SensorID,Channel,SensorLocation_m,SetAmplitude_V,SetFrequency_Hz,MeasuredFrequency_FFT_Hz,MeasuredAmplitude_m,UncertaintyAmplitude_m,UncertaintyFrequency_Hz,Cam_Amplitude_PT_m,Cam_Uncertainty_PT_m,Cam_Amplitude_Envelope_m,Cam_Uncertainty_Envelope_m,Cam_DriftRatio,ReferenceAmplitude_m,NormalisedAmplitude,Final_amp_error_m,Final_freq_error_Hz
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p89_f1p67.csv,HIGH,130526,5,1,7.8,1.89,1.67,1.67141663273834,0.0030710579229532,1.33990029189704e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.0054692227535623,0.561516336293472,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a2p06_f1p25.csv,HIGH,130526,5,1,7.8,2.06,1.25,1.24999107149235,0.00923462341627609,5.65442500257926e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00193876220423703,4.76315424145079,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a2p32_f0p83.csv,HIGH,130526,5,1,7.8,2.32,0.83,0.828565510246355,0.000655066296262978,2.23624956347939e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00281169273652337,0.232979332255544,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a2p42_f1.csv,HIGH,130526,5,1,7.8,2.42,1,0.999992857193877,0.00335045690679198,5.47873829768963e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00496460273449517,0.674869085397761,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a2p56_f1p25.csv,HIGH,130526,5,1,7.8,2.56,1.25,1.24999107149235,0.00726929887616348,5.31663761397064e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00266582144718686,2.72685137402375,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a2p93_f0p71.csv,HIGH,130526,5,1,7.8,2.93,0.71,0.707137806158527,0.00171473553024357,4.53342006650078e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00367417200649008,0.466699851616812,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a3p07_f1p25.csv,HIGH,130526,5,1,7.8,3.07,1.25,1.24999107149235,0.0105299979273332,5.38799176936717e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00349121283094568,3.01614322506971,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a3p14_f1.csv,HIGH,130526,5,1,7.8,3.14,1,0.999992857193877,0.00396219685360864,0.000114625424881308,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00644666333279793,0.61461203246812,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a3p25_f0p83.csv,HIGH,130526,5,1,7.8,3.25,0.83,0.828565510246355,0.00104723689945663,1.25693373486686e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00391497332012099,0.267495283831019,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a3p57_f1p25.csv,HIGH,130526,5,1,7.8,3.57,1.25,1.24999107149235,0.0132156106870011,0.000111321124460785,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00437600517336554,3.02001715341599,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a3p86_f1.csv,HIGH,130526,5,1,7.8,3.86,1,0.999992857193877,0.00681227569195862,2.00260560789464e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00790939248531899,0.861289372679788,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a4p06_f0p71.csv,HIGH,130526,5,1,7.8,4.06,0.71,0.707137806158527,0.00252285279086118,7.50283471421525e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00513801560616576,0.491016957565035,0.000711785603850928,0.0150292464797731
