t_s,eta_m
37.7543833333333,0.0230901383600734
37.7710666666667,0.0228249833669216
37.78775,0.0214992084011624
37.8044333333333,0.0200408559388272
37.8211166666667,0.0179196159936124
37.8378,0.015135488565518
37.8544833333333,0.0136771361031829
37.8711666666667,0.0110255861716644
37.88785,0.00837403624014594
37.9045333333333,0.00598764130177932
37.9212166666667,0.000684541438742375
37.9379,-0.00183443099620017
37.9545833333333,-0.00448598092771864
37.9712666666667,-0.00660722087293342
37.98795,-0.00859588332157227
38.0046333333333,-0.0105845457702111
38.0213166666667,-0.0123080532256981
38.038,-0.0137664056880333
38.0546833333333,-0.0152247581503684
38.0713666666667,-0.0164179556195518
38.08805,-0.0173459980955832
38.1047333333333,-0.0182740405716147
38.1214166666667,-0.0190695055510702
38.1381,-0.0197323930339498
38.1547833333333,-0.0202627030202535
38.1714666666667,-0.0206604355099813
38.18815,-0.0209255905031332
38.2048333333333,-0.0209255905031332
38.2215166666667,-0.0222513654688924
38.2382,-0.0219862104757405
38.2548833333333,-0.0203952805168295
38.2715666666667,-0.0198649705305258
38.28825,-0.0192020830476461
38.3049333333333,-0.0182740405716147
38.3216166666667,-0.0172134205990073
38.3383,-0.0158876456332481
38.3549833333333,-0.014296715674337
38.3716666666667,-0.01257320821885
38.38835,-0.0105845457702111
38.4050333333333,-0.00833072832842042
38.4217166666667,-0.00620948838320565
38.4384,-0.00342536095511125
38.4550833333333,2.1653955862758e-05
38.4717666666667,0.00280578138395715
38.48845,0.00572248630862747
38.5051333333333,0.00784372625384224
38.5218166666667,0.0104952761853607
38.5385,0.0127490936271514
38.5551833333333,0.015135488565518
38.5718666666667,0.0163286860347013
38.58855,0.0172567285107328
38.6052333333333,0.018715080973068
38.6219166666667,0.0203060109319791
38.6386,0.0214992084011624
38.6552833333333,0.022162095884042
38.6719666666667,0.0228249833669216
38.68865,0.0232227158566494
38.7053333333333,0.0233552933532253
38.7220166666667,0.0233552933532253
38.7387,0.0232227158566494
38.7553833333333,0.0230901383600734
38.7720666666667,0.0229575608634975
38.78875,0.0213666309045864
38.8054333333333,0.0200408559388272
38.8221166666667,0.0180521934901884
38.8388,0.0155332210552458
38.8554833333333,0.0128816711237273
38.8721666666667,0.0111581636682403
38.88885,0.00837403624014594
38.9055333333333,0.00320351387368492
38.9222166666667,0.00333609137026085
38.9389,-0.00183443099620017
38.9555833333333,-0.00435340343114272
38.9722666666667,-0.00673979836950934
38.98895,-0.00872846081814819
39.0056333333333,-0.010717123266787
39.0223166666667,-0.01257320821885
39.039,-0.0138989831846092
39.0556833333333,-0.0153573356469444
39.0723666666667,-0.0164179556195518
39.08905,-0.0174785755921591
39.1057333333333,-0.0184066180681906
39.1224166666667,-0.0192020830476461
39.1391,-0.0197323930339498
39.1557833333333,-0.0202627030202535
39.1724666666667,-0.0206604355099813
39.18915,-0.0207930130065572
39.2058333333333,-0.0209255905031332
39.2225166666667,-0.0209255905031332
39.2392,-0.0206604355099813
39.2558833333333,-0.0203952805168295
39.2725666666667,-0.0197323930339498
39.28925,-0.0190695055510702
39.3059333333333,-0.0181414630750388
39.3226166666667,-0.0170808431024314
39.3393,-0.0157550681366721
39.3559833333333,-0.0140315606811851
39.3726666666667,-0.0124406307222741
39.38935,-0.0103193907770593
39.4060333333333,-0.00806557333526857
39.4227166666667,-0.00461855842429456
39.4394,-0.00316020596195941
39.4560833333333,0.000286808949014605
39.4727666666667,0.003070936377109
39.48945,0.00598764130177932
39.5061333333333,0.00824145874357001
39.5228166666667,0.0107604311785126
39.5395,0.0132794036134551
39.5561833333333,0.0154006435586699
39.5728666666667,0.0164612635312773
39.58955,0.0175218835038847
39.6062333333333,0.0189802359662198
39.6229166666667,0.020438588428555
39.6396,0.0214992084011624
39.6562833333333,0.0222946733806179
39.6729666666667,0.0228249833669216
39.68965,0.0232227158566494
39.7063333333333,0.0233552933532253
39.7230166666667,0.0232227158566494
39.7397,0.0232227158566494
39.7563833333333,0.0232227158566494
39.7730666666667,0.0226924058703457
39.78975,0.0212340534080105
39.8064333333333,0.0196431234490994
39.8231166666667,0.0177870384970365
39.8398,0.0154006435586699
39.8564833333333,0.0124839386339996
39.8731666666667,0.0106278536819366
39.88985,0.00824145874357001
39.9065333333333,0.00293835888053308
39.9232166666667,0.000154231452438681
39.9399,-0.00223216348592794
39.9565833333333,-0.00461855842429456
39.9732666666667,-0.00700495336266119
39.98995,-0.00912619330787596
40.0066333333333,-0.010849700763363
40.0233166666667,-0.0127057857154259
40.04,-0.0141641381777611
40.0566833333333,-0.0154899131435203
40.0733666666667,-0.0166831106127036
40.09005,-0.017743730585311
40.1067333333333,-0.0185391955647665
40.1234166666667,-0.0193346605442221
40.1401,-0.0198649705305258
40.1567833333333,-0.0203952805168295
40.1734666666667,-0.0206604355099813
40.19015,-0.0209255905031332
40.2068333333333,-0.0210581679997091
40.2235166666667,-0.0209255905031332
40.2402,-0.0190695055510702
